oferta,precio,mts,bathrooms,recamaras,lat,lon,fuente,fecha_consulta,municipio,precio_m2
condominios en venta en el centro de mzt,2880000.0,91.0,2.0,2.0,23.1950423,-106.4217422,easybroker,2024-09-02 12:27:21.140990,mazatlan,31648.351648351647
departamento en venta,3500000.0,,,,23.3251538699,-106.4799214153,easybroker,2024-09-02 12:27:21.140990,mazatlan,
casa en pacifico hills,6300000.0,270.0,4.0,4.0,23.296652,-106.431015,easybroker,2024-09-02 12:27:21.140990,mazatlan,23333.333333333332
casa en constitucion,6500000.0,307.0,3.0,3.0,23.1989362,-106.4213379,easybroker,2024-09-02 12:27:21.140990,mazatlan,21172.638436482084
aura departamentos pre venta,2830000.0,,2.0,2.0,23.2152533,-106.4180751,easybroker,2024-09-02 12:27:21.140990,mazatlan,
haus 1846 pre venta,4423850.0,,2.0,3.0,23.1989362,-106.4213379,easybroker,2024-09-02 12:27:21.140990,mazatlan,
sun and sea living  preventa,3189000.0,,3.0,3.0,23.2991545,-106.4815048,easybroker,2024-09-02 12:27:21.140990,mazatlan,
departamento en coto mareta,3300000.0,,2.0,2.0,23.2911452,-106.4700084,easybroker,2024-09-02 12:27:21.140990,mazatlan,
departamento en ananta playa,4500000.0,,,,23.3204642367,-106.4782476474,easybroker,2024-09-02 12:27:21.140990,mazatlan,
penthouse en la torre de tokio,6000000.0,134.0,3.0,3.0,23.2514289,-106.4531024,easybroker,2024-09-02 12:27:21.140990,mazatlan,44776.119402985074
departamentos en preventa en mangata,4606900.0,50.0,,,23.2871197234,-106.4573907852,easybroker,2024-09-02 12:27:21.140990,mazatlan,92138.0
casa en venta en el cielo,12400000.0,362.0,3.0,4.0,23.2998348,-106.4749949,easybroker,2024-09-02 12:27:21.140990,mazatlan,34254.14364640884
departamentos en la marina mazatlan,3251992.0,60.0,2.0,,23.2773630997,-106.4652012548,easybroker,2024-09-02 12:27:21.140990,mazatlan,54199.86666666667
departamentos en qabu boutique living,2354000.0,40.46,,,23.2582617006,-106.4588927442,easybroker,2024-09-02 12:27:21.140990,mazatlan,58180.91942659416
condominio en venta en golden view 302,11500000.0,147.19,2.0,3.0,23.2496421,-106.4551039,easybroker,2024-09-02 12:27:21.140990,mazatlan,78130.3077654732
condominio en venta en punto reforma,4482715.0,99.5,2.0,2.0,23.2111075787,-106.4189708116,easybroker,2024-09-02 12:27:21.140990,mazatlan,45052.41206030151
condominio en venta en punto reforma,2289692.0,49.6,,2.0,23.2111075787,-106.4189815428,easybroker,2024-09-02 12:27:21.140990,mazatlan,46163.14516129032
condominio en venta en akkuun marina mazatlan,5838523.8,140.21,2.0,3.0,23.2774912216,-106.4652335644,easybroker,2024-09-02 12:27:21.140990,mazatlan,41641.27950930746
condominio en venta en akkuun,2896172.64,64.78,,,23.2775306437,-106.4651370049,easybroker,2024-09-02 12:27:21.140990,mazatlan,44707.82093238654
