oferta,recamaras,bathrooms,mts,lat,lon,fecha_consulta,fuente,precio,precio_m2
departamento en renta en centro,2,2,,23.205346,-106.428325,2024-09-04 11:28:07.772966,lamudi,30000.0,
casa en renta en marina mazatlan,3,3,,23.277781,-106.452224,2024-09-04 11:28:07.772966,lamudi,55000.0,
casa en renta en el cid,3,3,,23.257136,-106.450612,2024-09-04 11:28:07.772966,lamudi,35000.0,
casa en renta en club real,4,3,,23.268198,-106.445579,2024-09-04 11:28:07.772966,lamudi,40000.0,
casa en renta en real del valle,3,2,,23.286383,-106.430281,2024-09-04 11:28:07.772966,lamudi,21000.0,
casa en renta en mazatlan,3,3,,23.296231,-106.434812,2024-09-04 11:28:07.772966,lamudi,30000.0,
departamento en renta en marina mazatlan,3,3,,23.274365,-106.462157,2024-09-04 11:28:07.772966,lamudi,60000.0,
departamento en renta en sabalo cerritos,3,3,,23.305479,-106.478069,2024-09-04 11:28:07.772966,lamudi,22000.0,
departamento en renta en zona dorada,1,1,55.0,23.245892,-106.454207,2024-09-04 11:28:07.772966,lamudi,25200.0,458.1818181818182
departamento en renta en lomas de mazatlan,2,2,,23.244349,-106.445004,2024-09-04 11:28:07.772966,lamudi,14000.0,
casa en renta en real del valle,3,2,,23.285468,-106.432864,2024-09-04 11:28:07.772966,lamudi,22000.0,
casa en renta en real del valle,4,3,,23.285468,-106.432864,2024-09-04 11:28:07.772966,lamudi,19000.0,
casa en renta en real del valle,4,3,,23.286086,-106.424819,2024-09-04 11:28:07.772966,lamudi,25000.0,
casa en renta en real del valle,3,2,,23.275569,-106.42785,2024-09-04 11:28:07.772966,lamudi,24000.0,
casa en renta en real del valle,3,3,,23.286094,-106.425514,2024-09-04 11:28:07.772966,lamudi,22000.0,
casa en renta en mediterraneo club residencial,3,3,,23.273764,-106.44557,2024-09-04 11:28:07.772966,lamudi,20000.0,
casa en renta en sabalo country club,3,2,,23.265414,-106.463563,2024-09-04 11:28:07.772966,lamudi,20000.0,
casa en renta en sabalo country club,3,3,,23.259032,-106.462577,2024-09-04 11:28:07.772966,lamudi,20000.0,
casa en renta en club real,4,4,,23.269398,-106.447213,2024-09-04 11:28:07.772966,lamudi,27000.0,
casa en renta en el cid,3,3,,23.255278,-106.450894,2024-09-04 11:28:07.772966,lamudi,36000.0,
casa en renta en mediterraneo club residencial,,2,,23.272374,-106.445751,2024-09-04 11:28:07.772966,lamudi,22000.0,
casa en renta en ciudad de mazatlan,3,2,,23.287141,-106.421927,2024-09-04 11:28:07.772966,lamudi,14000.0,
casa en renta en marina mazatlan,3,3,,23.277566,-106.452737,2024-09-04 11:28:07.772966,lamudi,39900.0,
casa en renta en sabalo cerritos,3,4,,23.287472,-106.468857,2024-09-04 11:28:07.772966,lamudi,27500.0,
casa en renta en club real,3,3,,23.269398,-106.447213,2024-09-04 11:28:07.772966,lamudi,40000.0,
departamento en renta en balcones de loma linda,2,2,,23.202262,-106.42876,2024-09-04 11:28:07.772966,lamudi,45000.0,
casa en renta en sabalo cerritos,4,4,,23.298981,-106.478335,2024-09-04 11:28:07.772966,lamudi,35000.0,
casa en renta en sabalo cerritos,3,3,,23.305479,-106.478069,2024-09-04 11:28:07.772966,lamudi,33000.0,
casa en renta en ciudad de mazatlan,3,3,,23.27953,-106.420807,2024-09-04 11:28:07.772966,lamudi,16500.0,
casa en renta en sabalo cerritos,3,2,,23.297083,-106.476847,2024-09-04 11:28:07.772966,lamudi,17000.0,
casa en renta en ciudad de mazatlan,3,3,,23.312281,-106.425026,2024-09-04 11:28:07.772966,lamudi,20000.0,
casa en renta en alameda,3,2,,23.24116,-106.434335,2024-09-04 11:28:07.772966,lamudi,27000.0,
casa en renta en sabalo cerritos,3,2,,23.291417,-106.469055,2024-09-04 11:28:07.772966,lamudi,21000.0,
casa en renta en royal country,3,2,,23.291596,-106.472613,2024-09-04 11:28:07.772966,lamudi,15000.0,
casa en renta en ciudad de mazatlan,3,4,,23.277451,-106.452341,2024-09-04 11:28:07.772966,lamudi,38000.0,
departamento en renta en centro,2,2,,23.205346,-106.428325,2024-09-04 11:28:07.772966,lamudi,40000.0,
casa en renta en sabalo cerritos,3,2,,23.3024,-106.47899,2024-09-04 11:28:07.772966,lamudi,20000.0,
departamento en renta en real pacifico,2,2,,23.276505,-106.432468,2024-09-04 11:28:07.772966,lamudi,20000.0,
departamento en renta en isla residencial,2,2,154.0,23.243535,-106.420528,2024-09-04 11:28:07.772966,lamudi,23000.0,149.35064935064935
casa en renta en ciudad de mazatlan,3,2,,23.287141,-106.421927,2024-09-04 11:28:07.772966,lamudi,15000.0,
casa en renta en cerritos resort,2,2,,23.299078,-106.483657,2024-09-04 11:28:07.772966,lamudi,25000.0,
casa en renta en cerritos resort,4,2,,23.306418,-106.477959,2024-09-04 11:28:07.772966,lamudi,20000.0,
departamento en renta en ferrocarrilera,2,2,,23.216192,-106.417767,2024-09-04 11:28:07.772966,lamudi,15000.0,
departamento en renta en centro,2,2,120.0,23.205346,-106.428325,2024-09-04 11:28:07.772966,lamudi,33500.0,279.1666666666667
casa en renta en marina garden,32,2,,23.282451,-106.468304,2024-09-04 11:28:07.772966,lamudi,20000.0,
departamento en renta en sabalo country club,2,1,87.0,23.265414,-106.463563,2024-09-04 11:28:07.772966,lamudi,13000.0,149.42528735632183
casa en renta en el cid,3,2,,23.255278,-106.450894,2024-09-04 11:28:07.772966,lamudi,25000.0,
departamento en renta en mediterraneo club residencial,2,1,,23.272645,-106.445902,2024-09-04 11:28:07.772966,lamudi,18000.0,
casa en renta en sabalo cerritos,4,4,,23.289988,-106.470772,2024-09-04 11:28:07.772966,lamudi,19000.0,
casa en renta en quintas del mar,2,2,,23.295783,-106.480712,2024-09-04 11:28:07.772966,lamudi,35000.0,
departamento en renta en ciudad de mazatlan,3,3,,23.297952,-106.482369,2024-09-04 11:28:07.772966,lamudi,38000.0,
casa en renta en marina mazatlan,,,,23.277579,-106.452737,2024-09-04 11:28:07.772966,lamudi,40000.0,
departamento en renta en ferrocarrilera,2,2,,23.218056,-106.421943,2024-09-04 11:28:07.772966,lamudi,35000.0,
departamento en renta en alameda,2,2,,23.243192,-106.436661,2024-09-04 11:28:07.772966,lamudi,23500.0,
departamento en renta en alameda,2,2,,23.243192,-106.436661,2024-09-04 11:28:07.772966,lamudi,23000.0,
departamento en renta en isla residencial,3,3,,23.243657,-106.42108,2024-09-04 11:28:07.772966,lamudi,32000.0,
departamento en renta en marina mazatlan,3,3,,23.270967,-106.456776,2024-09-04 11:28:07.772966,lamudi,25000.0,
departamento en renta en alameda,2,2,,23.243192,-106.436661,2024-09-04 11:28:07.772966,lamudi,21000.0,
departamento en renta en centro,2,2,,23.206288,-106.42274,2024-09-04 11:28:07.772966,lamudi,18000.0,
casa en renta en sabalo country club,3,2,,23.265414,-106.463563,2024-09-04 11:28:07.772966,lamudi,25000.0,
departamento en renta en marina mazatlan,2,2,,23.288163,-106.456836,2024-09-04 11:28:07.772966,lamudi,17000.0,
departamento en renta en los pinos,2,2,,23.206622,-106.427889,2024-09-04 11:28:07.772966,lamudi,26000.0,
departamento en renta en sabalo cerritos,3,3,127.0,23.290939,-106.470268,2024-09-04 11:28:07.772966,lamudi,21000.0,165.35433070866142
casa en renta en sabalo cerritos,3,3,,23.297242,-106.478776,2024-09-04 11:28:07.772966,lamudi,42000.0,
casa en renta en marina mazatlan,4,,,23.277579,-106.452737,2024-09-04 11:28:07.772966,lamudi,40000.0,
departamento en renta en ciudad de mazatlan,2,2,,23.275335,-106.457332,2024-09-04 11:28:07.772966,lamudi,23000.0,
departamento en renta en isla residencial,2,2,,23.243535,-106.420528,2024-09-04 11:28:07.772966,lamudi,25000.0,
departamento en renta en real del valle,2,,,23.286383,-106.430281,2024-09-04 11:28:07.772966,lamudi,11500.0,
condominio horizontal en renta en marina mazatlan,2,2,68.0,23.287837,-106.443489,2024-09-04 11:28:07.772966,lamudi,20000.0,294.11764705882354
casa en renta en el cid,4,4,472.0,23.257136,-106.450612,2024-09-04 11:28:07.772966,lamudi,38000.0,80.50847457627118
