oferta,recamaras,bathrooms,mts,lat,lon,fecha_consulta,fuente,precio,precio_m2,cvegeo,cve_ent,cve_mun,nom_mun,tipo
departamento en renta en sabalo country club,1.0,1.0,,23.262684,-106.462673,2024-09-04 11:28:07.772966,lamudi,16000.0,,25012,25,012,Mazatlán,renta
departamento en renta en marina mazatlan,3.0,3.0,,23.271305,-106.453069,2024-09-04 11:28:07.772966,lamudi,30000.0,,25012,25,012,Mazatlán,renta
departamento en renta en telleria,2.0,2.0,,23.231478,-106.433932,2024-09-04 11:28:07.772966,lamudi,35000.0,,25012,25,012,Mazatlán,renta
departamento en renta en cerritos resort,2.0,2.0,114.0,23.276032,-106.4663,2024-09-04 11:28:07.772966,lamudi,36000.0,315.7894736842105,25012,25,012,Mazatlán,renta
departamento en renta en marina mazatlan,2.0,2.0,,23.274709,-106.46548,2024-09-04 11:28:07.772966,lamudi,20000.0,,25012,25,012,Mazatlán,renta
departamento en renta en cerritos resort,2.0,2.0,,23.27751,-106.46698,2024-09-04 11:28:07.772966,lamudi,45000.0,,25012,25,012,Mazatlán,renta
casa en renta en el cid,4.0,4.0,450.0,23.257136,-106.450612,2024-09-04 11:28:07.772966,lamudi,55000.0,122.22222222222224,25012,25,012,Mazatlán,renta
casa en renta en el cid,3.0,3.0,300.0,23.255278,-106.450894,2024-09-04 11:28:07.772966,lamudi,45000.0,150.0,25012,25,012,Mazatlán,renta
casa en renta en sabalo country club,3.0,2.0,190.0,23.262684,-106.462673,2024-09-04 11:28:07.772966,lamudi,18000.0,94.73684210526316,25012,25,012,Mazatlán,renta
casa en renta en sabalo cerritos,4.0,4.0,232.0,23.298981,-106.478335,2024-09-04 11:28:07.772966,lamudi,40000.0,172.41379310344828,25012,25,012,Mazatlán,renta
casa en renta en real del valle,3.0,2.0,190.0,23.285468,-106.432864,2024-09-04 11:28:07.772966,lamudi,20000.0,105.26315789473684,25012,25,012,Mazatlán,renta
casa en renta en marina mazatlan,3.0,3.0,,23.296697,-106.434527,2024-09-04 11:28:07.772966,lamudi,27000.0,,25012,25,012,Mazatlán,renta
casa en renta en marina mazatlan,3.0,4.0,,23.296697,-106.434527,2024-09-04 11:28:07.772966,lamudi,27000.0,,25012,25,012,Mazatlán,renta
casa en renta en sabalo cerritos,3.0,3.0,,23.287671,-106.467829,2024-09-04 11:28:07.772966,lamudi,20000.0,,25012,25,012,Mazatlán,renta
casa en renta en el cid,4.0,3.0,,23.255278,-106.450894,2024-09-04 11:28:07.772966,lamudi,45000.0,,25012,25,012,Mazatlán,renta
casa en renta en sabalo cerritos,3.0,3.0,,23.287671,-106.467829,2024-09-04 11:28:07.772966,lamudi,21500.0,,25012,25,012,Mazatlán,renta
casa en renta en el cid,4.0,2.0,,23.255278,-106.450894,2024-09-04 11:28:07.772966,lamudi,60000.0,,25012,25,012,Mazatlán,renta
casa en renta en punta diamante,3.0,4.0,,23.275364,-106.453384,2024-09-04 11:28:07.772966,lamudi,55000.0,,25012,25,012,Mazatlán,renta
