oferta,recamaras,bathrooms,mts,lat,lon,fecha_consulta,fuente,precio,precio_m2,cvegeo,cve_ent,cve_mun,nom_mun
departamento en venta en sabalo cerritos,2.0,2.0,160.0,23.2770199,-106.4660639,2024-09-02 13:00:56.917298,lamudi,4700000.0,29375.0,25012,25,012,Mazatlán
casa en venta en cerritos resort,11.0,13.0,1.0,23.3181322,-106.4794236,2024-09-02 13:00:56.917298,lamudi,93050600.0,93050600.0,25012,25,012,Mazatlán
departamento en venta en centro,2.0,2.0,109.0,23.2053411,-106.4283229,2024-09-02 13:00:56.917298,lamudi,6350000.0,58256.88073394496,25012,25,012,Mazatlán
casa en venta en aeropuerto rafael buelna,3.0,2.0,328.0,23.1144948,-106.3053509,2024-09-02 13:00:56.917298,lamudi,12868699.999999998,39233.84146341463,25012,25,012,Mazatlán
casa en venta en villa marina,4.0,4.0,460.0,23.29129,-106.47572,2024-09-02 13:00:56.917298,lamudi,17000000.0,36956.52173913043,25012,25,012,Mazatlán
casa en venta en el cid,3.0,3.0,556.0,23.2526583,-106.4489486,2024-09-02 13:00:56.917298,lamudi,17500000.0,31474.82014388489,25012,25,012,Mazatlán
departamento en venta en telleria,4.0,4.0,288.0,23.2304423,-106.4327102,2024-09-02 13:00:56.917298,lamudi,11878799.999999998,41245.83333333333,25012,25,012,Mazatlán
departamento en venta en las gaviotas,2.0,1.0,64.0,23.24268,-106.4501,2024-09-02 13:00:56.917298,lamudi,3197000.0,49953.125,25012,25,012,Mazatlán
departamento en venta en ferrocarrilera,2.0,1.0,63.0,23.21617,-106.41928,2024-09-02 13:00:56.917298,lamudi,2395000.0,38015.87301587302,25012,25,012,Mazatlán
departamento en venta en ferrocarrilera,1.0,1.0,48.0,23.2161925,-106.4177672,2024-09-02 13:00:56.917298,lamudi,2050000.0,42708.333333333336,25012,25,012,Mazatlán
departamento en venta en marina mazatlan,3.0,2.0,135.0,23.27246,-106.4533,2024-09-02 13:00:56.917298,lamudi,7500000.0,55555.55555555556,25012,25,012,Mazatlán
departamento en venta en ferrocarrilera,2.0,2.0,58.0,23.22138243,-106.42217072,2024-09-02 13:00:56.917298,lamudi,2404140.0,41450.68965517241,25012,25,012,Mazatlán
casa en fraccionamiento en venta en isla de la piedra,4.0,3.0,315.0,23.1873846,-106.4098633,2024-09-02 13:00:56.917298,lamudi,11750000.0,37301.5873015873,25012,25,012,Mazatlán
casa en venta en el cid,5.0,7.0,625.0,23.25422,-106.45118,2024-09-02 13:00:56.917298,lamudi,16000000.0,25600.0,25012,25,012,Mazatlán
casa en fraccionamiento en venta en isla de la piedra,4.0,5.0,399.0,23.1873846,-106.4098633,2024-09-02 13:00:56.917298,lamudi,13850000.0,34711.77944862156,25012,25,012,Mazatlán
casa en fraccionamiento en venta en el cid,4.0,4.0,498.0,23.2625069,-106.4513354,2024-09-02 13:00:56.917298,lamudi,21900000.0,43975.90361445784,25012,25,012,Mazatlán
casa en venta en el cid,3.0,5.0,304.0,23.2552777,-106.4508938,2024-09-02 13:00:56.917298,lamudi,13900000.0,45723.68421052631,25012,25,012,Mazatlán
departamento en venta en ferrocarrilera,2.0,2.0,84.0,23.2161925,-106.4177672,2024-09-02 13:00:56.917298,lamudi,3600000.0,42857.142857142855,25012,25,012,Mazatlán
departamento en venta en centro,2.0,1.0,104.0,23.1980086,-106.4270805,2024-09-02 13:00:56.917298,lamudi,4999000.0,48067.307692307695,25012,25,012,Mazatlán
casa en venta en marina mazatlan,3.0,3.0,86.0,23.2881964,-106.4271633,2024-09-02 13:00:56.917298,lamudi,2750000.0,31976.74418604651,25012,25,012,Mazatlán
casa en venta en playas infonavit,4.0,2.0,110.0,23.2502452,-106.423656,2024-09-02 13:00:56.917298,lamudi,1700000.0,15454.545454545454,25012,25,012,Mazatlán
casa en fraccionamiento en venta en rincon de las palmas,3.0,2.0,184.0,23.2800885,-106.4384153,2024-09-02 13:00:56.917298,lamudi,4200000.0,22826.08695652174,25012,25,012,Mazatlán
casa en fraccionamiento en venta en ciudad de mazatlan,3.0,3.0,145.0,23.3081771,-106.4747451,2024-09-02 13:00:56.917298,lamudi,3900000.0,26896.55172413793,25012,25,012,Mazatlán
casa en venta en club real,4.0,3.0,365.0,23.2693983,-106.4472128,2024-09-02 13:00:56.917298,lamudi,8990000.0,24630.13698630137,25012,25,012,Mazatlán
departamento en venta en las gaviotas,1.0,1.0,43.0,23.247252,-106.45163,2024-09-02 13:00:56.917298,lamudi,2390000.0,55581.395348837206,25012,25,012,Mazatlán
departamento en venta en ferrocarrilera,2.0,2.0,111.0,23.221216,-106.423827,2024-09-02 13:00:56.917298,lamudi,7695000.0,69324.32432432432,25012,25,012,Mazatlán
departamento en venta en ciudad de mazatlan,1.0,1.0,76.0,23.3089185,-106.4751161,2024-09-02 13:00:56.917298,lamudi,2481000.0,32644.736842105263,25012,25,012,Mazatlán
casa en venta en centro,,,171.0,23.1997858,-106.4262385,2024-09-02 13:00:56.917298,lamudi,5880005.999999999,34385.99999999999,25012,25,012,Mazatlán
casa en venta en lomas del mar,3.0,3.0,145.0,23.21901,-106.41454,2024-09-02 13:00:56.917298,lamudi,1650000.0,11379.310344827589,25012,25,012,Mazatlán
casa en venta en ferrocarrilera,4.0,3.0,234.0,23.215397,-106.418159,2024-09-02 13:00:56.917298,lamudi,4490000.0,19188.034188034188,25012,25,012,Mazatlán
departamento en venta en ferrocarrilera,2.0,2.0,83.0,23.2174095,-106.420671,2024-09-02 13:00:56.917298,lamudi,3750000.0,45180.72289156626,25012,25,012,Mazatlán
departamento en venta en zona dorada,2.0,2.0,76.0,23.25085246,-106.45524636,2024-09-02 13:00:56.917298,lamudi,4200000.0,55263.15789473684,25012,25,012,Mazatlán
departamento en venta en ferrocarrilera,2.0,2.0,91.0,23.215448,-106.420747,2024-09-02 13:00:56.917298,lamudi,5252469.0,57719.43956043956,25012,25,012,Mazatlán
casa en fraccionamiento en venta en el cid,4.0,,538.0,23.25422,-106.45118,2024-09-02 13:00:56.917298,lamudi,28995000.0,53894.05204460966,25012,25,012,Mazatlán
casa en fraccionamiento en venta en playa azul fovissste,4.0,,293.0,23.246437,-106.39185,2024-09-02 13:00:56.917298,lamudi,5355000.0,18276.450511945397,25012,25,012,Mazatlán
condominio horizontal en venta en villa marina,3.0,3.0,144.0,23.29129,-106.47572,2024-09-02 13:00:56.917298,lamudi,5400000.0,37500.0,25012,25,012,Mazatlán
casa en fraccionamiento en venta en marina mazatlan,4.0,,580.0,23.278775,-106.454757,2024-09-02 13:00:56.917298,lamudi,15800000.0,27241.379310344822,25012,25,012,Mazatlán
penthouse en venta en sabalo country club,4.0,,480.0,23.261704,-106.464508,2024-09-02 13:00:56.917298,lamudi,27995000.0,58322.91666666666,25012,25,012,Mazatlán
casa en fraccionamiento en venta en francisco villa,3.0,,107.0,23.2542,-106.42529,2024-09-02 13:00:56.917298,lamudi,2300000.0,21495.327102803734,25012,25,012,Mazatlán
departamento en venta en lomas de mazatlan,1.0,1.0,45.0,23.2443491,-106.4450042,2024-09-02 13:00:56.917298,lamudi,2530000.0,56222.22222222222,25012,25,012,Mazatlán
departamento en venta en balcones de loma linda,1.0,1.0,57.0,23.20154909,-106.42904218,2024-09-02 13:00:56.917298,lamudi,3170068.0,55615.22807017544,25012,25,012,Mazatlán
departamento en venta en 12 de mayo,3.0,2.0,200.0,23.299035,-106.481748,2024-09-02 13:00:56.917298,lamudi,12900000.0,64500.0,25012,25,012,Mazatlán
departamento en venta en zona dorada,2.0,2.0,100.0,23.242365,-106.451881,2024-09-02 13:00:56.917298,lamudi,9600000.0,96000.0,25012,25,012,Mazatlán
departamento en venta en cerritos resort,2.0,2.0,80.0,23.3003483,-106.4829193,2024-09-02 13:00:56.917298,lamudi,7000000.0,87500.0,25012,25,012,Mazatlán
departamento en venta en cerritos resort,1.0,1.0,872.0,23.2721709,-106.4655724,2024-09-02 13:00:56.917298,lamudi,3939802.0,4518.121559633027,25012,25,012,Mazatlán
departamento en venta en marina mazatlan,2.0,2.0,104.0,23.274365,-106.462157,2024-09-02 13:00:56.917298,lamudi,3500000.0,33653.84615384616,25012,25,012,Mazatlán
